IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
140.238.101.98,4,4,0.00,53.99,9.60
140.238.97.0,4,4,0.00,57.30,8.85
152.67.150.150,4,4,0.00,52.26,8.70
140.238.98.146,4,4,0.00,57.38,8.64
141.147.74.232,4,4,0.00,56.96,8.26
140.238.96.11,4,4,0.00,54.15,7.86
140.238.64.160,4,4,0.00,79.21,7.77
140.238.98.180,4,4,0.00,58.04,7.74
85.209.161.64,4,4,0.00,79.21,7.73
140.238.79.201,4,4,0.00,78.93,7.37
140.238.99.30,4,4,0.00,57.97,7.30
150.230.118.242,4,4,0.00,53.19,7.29
141.147.46.50,4,4,0.00,57.38,7.14
140.238.102.161,4,4,0.00,57.46,7.09
140.238.97.203,4,4,0.00,78.94,6.88
140.238.98.239,4,4,0.00,57.86,6.84
140.238.73.95,4,4,0.00,79.01,6.73
143.47.232.217,4,4,0.00,57.33,6.53
140.238.72.40,4,4,0.00,79.10,5.63
140.238.79.133,4,4,0.00,57.54,0.72
