IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
146.56.166.153,4,4,0.00,216.23,7.32
128.14.142.176,4,4,0.00,276.45,6.42
132.145.94.15,4,4,0.00,156.42,4.54
128.14.140.254,4,4,0.00,276.49,4.37
47.100.124.138,4,4,0.00,132.67,1.07
150.230.221.227,4,4,0.00,173.69,0.95
149.129.8.215,4,4,0.00,218.36,0.49
18.163.249.175,4,4,0.00,218.36,0.26
47.57.233.126,4,4,0.00,88.53,0.26
47.57.14.118,4,4,0.00,90.14,0.17
138.2.6.113,4,4,0.00,176.56,0.11
47.57.245.232,4,4,0.00,88.20,0.02
119.12.173.19,4,4,0.00,180.46,0.00
123.58.201.213,4,4,0.00,211.68,0.00
146.56.186.202,4,4,0.00,168.32,0.00
101.32.239.115,4,4,0.00,144.95,0.00
101.32.208.182,4,4,0.00,144.92,0.00
47.100.162.175,4,4,0.00,132.73,0.00
139.196.224.73,4,4,0.00,132.52,0.00
193.123.66.14,4,4,0.00,276.52,0.00
