IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
140.83.57.108,4,4,0.00,190.67,5.29 武汉
128.14.140.254,4,4,0.00,193.97,4.89 洛杉矶
128.14.142.176,4,4,0.00,190.68,4.88 洛杉矶
220.130.80.179,4,4,0.00,68.20,4.80 台北
173.205.94.4,4,4,0.00,195.62,4.27 西雅图
204.44.111.254,4,4,0.00,185.64,4.22 洛杉矶
43.153.31.207,4,4,0.00,169.97,1.17
101.132.47.83,4,4,0.00,65.22,0.81
146.56.149.205,4,4,0.00,106.83,0.74
47.57.233.126,4,4,0.00,54.07,0.41
158.101.150.139,4,4,0.00,195.85,0.22
123.58.212.234,4,4,0.00,23.52,0.03
139.162.69.237,4,4,0.00,174.86,0.00
139.162.69.151,4,4,0.00,182.05,0.00
47.108.32.1,4,4,0.00,76.75,0.00
211.72.35.110,4,4,0.00,66.43,0.00
103.29.71.18,4,4,0.00,193.07,0.00
101.32.208.182,4,4,0.00,44.05,0.00
112.74.93.147,4,4,0.00,27.02,0.00
211.22.184.186,4,4,0.00,80.28,0.00
