IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
150.230.221.227,4,4,0.00,102.20,4.61
219.76.13.181,4,4,0.00,36.22,1.60
123.58.212.234,4,4,0.00,15.80,0.12
172.104.67.140,4,4,0.00,99.73,0.00
146.56.186.202,4,4,0.00,93.58,0.00
139.162.109.235,4,4,0.00,98.10,0.00
172.104.67.40,4,4,0.00,98.54,0.00
172.104.66.247,4,4,0.00,98.72,0.00
158.101.95.249,4,4,0.00,99.65,0.00
139.162.69.237,4,4,0.00,99.66,0.00
101.32.239.115,4,4,0.00,52.62,0.00
172.104.75.237,4,4,0.00,99.74,0.00
172.104.66.57,4,4,0.00,99.99,0.00
172.104.67.98,4,4,0.00,100.06,0.00
172.104.70.53,4,4,0.00,100.26,0.00
139.162.70.129,4,4,0.00,100.28,0.00
139.162.106.229,4,4,0.00,100.93,0.00
172.104.68.171,4,4,0.00,101.32,0.00
47.100.162.175,4,4,0.00,46.58,0.00
103.29.70.180,4,4,0.00,108.02,0.00
